"m.low","low","low"
0.158290894006988,-0.569137518973091,-0.536812389026197
0.155464629297046,-0.524637404783165,-0.494301529416521
0.153845602742103,-0.473715076197654,-0.445609286029649
0.153435173639986,-0.416601860603955,-0.390962202362138
0.154226221031959,-0.353600665782565,-0.330655453203778
0.15620329739116,-0.285089224348937,-0.265055783885544
0.159342824361806,-0.211520743107268,-0.194601969024367
0.163613300656661,-0.133421801269048,-0.119802645170838
0.168975410300464,-0.0513875175250513,-0.0412315402710557
0.175381418819706,0.033925698669314,0.0404795944559158
0.182766772559701,0.121807460692551,0.124648095536673
0.184970085455317,0.166465044241992,0.167418722555593
0.170047845329411,0.0776018692370733,0.0823179313534679
0.156056183489681,-0.00907973812716725,-0.000696794611679957
0.143158933719459,-0.0928306454863939,-0.0809059509444368
0.131447658941126,-0.172966662083692,-0.157651402973169
0.121003697016792,-0.248860756486619,-0.230329029563904
0.111900257253856,-0.319951060652118,-0.29839650579959
0.104202439909084,-0.385746976234734,-0.36137928609724
0.0979669835045286,-0.445832647387522,-0.418874079728894
0.093241986255113,-0.499867664433613,-0.47054968519068
0.0900666571387622,-0.547585069874245,-0.516145248038818
0.0884711136610368,-0.588786899737087,-0.555466161462247
0.0884762328751906,-0.62333763724216,-0.588377966783665
0.0900935585915609,-0.651156079676798,-0.614798729870892
0.0933252661293359,-0.672206215969528,-0.634690462124763
0.0981641850878596,-0.686487774035629,-0.648050213882753
0.104593880012081,-0.694027116928673,-0.654901487377834
0.112588788342722,-0.694869140784144,-0.65528659158613
0.122114414616025,-0.689070754314588,-0.649260491247939
0.133127579486257,-0.676696402035085,-0.636886589762806
0.14557672177626,-0.657815938618023,-0.618234737422389
0.159402251413374,-0.632504981012467,-0.59338158335106
0.174536950778707,-0.600847672546823,-0.562413205371724
0.190906421686549,-0.562941605088843,-0.525429772133831
0.20842957491706,-0.518904477133001,-0.482551831306052
0.227019158947778,-0.468881930999156,-0.43392768949244
0.246582324263088,-0.413055921168688,-0.379741263369591
0.267021219355099,-0.351652923727314,-0.320219742662745
