"lng","lat"
-93.7,33.7
-94.261,33.771
-94.1,33.7
-94.1,33.9
-93.54,33.88
-93.7,33.1
-93.4,33.4
-94.3,34
-94,34.1
-93.9,33.1
-93.5,33.7
-94.3,33.7
-93.9,33.2
-93.8,33.7
-93.7,33.3
-94.3,34.2
-94.3,33.9
-93.6,33.3
-94.1,33.9
-93.6,33.9
-93.9,33.9
-93.8,34
-93.9,33.6
-93.9,33.4
-93.73,33.85
-93.3,33.8
-93.3,33.6
-93.9,33.71
-93.5,33.3
-93.5,33.1
-93.72,33.76
-94.1,33.75
-94.39,33.88
-92.9,34.5
-93,34.6
-93.1,34.5
-93.4,34.3
-93.417,34.037
-93.1,34.1
-93.2,34.3
-93.34,34.4
-93.7,34.4
-94.4,34.4
-93.5,34.1
-93,34.2
-93.6,34.4
-94.4,34.2
-94.3,34.5
-93.2,34.7
-93.74,34.26
-93.85,34.3
-94.2,34.6
-93.15,34.59
-93.6,34.6
-93.6,34.1
-93.9,34.2
-93.7,34.5
-93.8,34.6
-93.3,34
-93.24,34.41
-93.75,34.67
-93.3,34.5
-93.64,34.68
-93.5,34.7
-94,34.3
-94.3,34.39
-94.3,34.3
-93.054,34.126
-93.059,34.127
-92.9,35.07
-92.6,34.7
-91.4,34.4
-91.8,34.3
-91.08,35.56
-91.4,35.2
-92,35
-91.5,35.3
-92.48,34.52
-91.9,35.1
-92.4,35.5
-91.11,35.43
-92.6,34.5
-92.7,35
-91.4,34.9
-92.7,34.6
-91.5,35.5
-91.2,34.8
-92.49,34.6
-92.1,35
-91.7,34.8
-93.03,35.07
-91.29,34.51
-92.6,35.4
-91.3,34.7
-92.7,35.4
-92.6,35.6
-92.4,35.1
-92.5,35.05
-92.459,35.076
-91.2,35
-91.9,34.6
-91.22,34.43
-92.4,35.3
-91.6,35
-91.5,34.7
-91.3,34.3
-92.15,35.65
-92.04,35.12
-91.9,34.5
-92.22,35.23
-91.1,34.3
-92.3,35.79
-91.4,34.1
-92.3,34.2
-92.4,35.2
-91.4,35.2
-91.63,35.09
-92.31,35.33
-92.8,35.3
-91.6,34.8
-92.3,34.5
-92.2,35.6
-91.71,35.195
-91.2,34.5
-92.7,35
-91.75,34.52
-91.7,34.4
-91.124,35.054
-92.1,34.9
-92.19,34.4
-92.8,35.5
-91.7,35.4
-91.67,35.24
-92.02,34.61
-92.6,34.2
-91.829,35.364
-91.9,34.8
-92.8,34.6
-92.26,35.61
-92.14,34.9
-91.1,35.2
-91.83,35.14
-92.4,34.6
-92.9,34.3
-92.4,34.9
-92.55,35.15
-91.2,34.9
-92.8,35.2
-92.1,35.2
-91.2,35.6
-92.4,34.87
-92.26,34.77
-92.24,34.81
-92.15,34.77
-92.33,34.85
-92.26,34.77
-92.3,34.9
-91.8,35.4
-92.8,34.8
-91.23,35.26
-92.79,35.05
-92.9,34.9
-92.6,35.2
-92.63,34.32
-92.5,34.3
-92.07,35.66
-92.2,35.4
-92.2,34.4
-91.4,34.6
-92.6,34.9
-92.02,35.24
-92,35.3
-91.505,35.363
-91.15,34.35
-92.7,35.5
-92.1,34.7
-91.7,35.2
-92.4,34.3
-91.98,34.35
-92.3,35.6
-92.68,35.28
-92.6,35.3
-91.5,34.4
-91.47,35.58
-91.2,34.1
-92.7,34.4
-92,34.4
-91.2,35.6
-91.42,34.59
-92.2,35.1
-91.77,34.36
-91.89,34.99
-91.87,35.5
-92.45,35.16
-92.28,34.75
-92.29,34.76
-92.36,34.71
-92.35,34.74
-92.3,34.6
-92.34,34.78
-92.36,34.67
-92.5,34.7
-92.42,34.75
-92.41,34.79
-92.5,34.8
-92.37,34.78
-90.2,35.1
-90.98,34.67
-89.9,35.8
-90.5,34.8
-90,35.8
-90.9,35.1
-90.8,35.4
-90.232,35.316
-90.9,35.1
-90.3,35.2
-90.95,34.17
-90.01,35.58
-90.21,35.59
-90.5,35.3
-90.3,35
-90.9,34.3
-90.7,35
-90.19,35.46
-90.276,35.413
-91.02,34.95
-90.75,34.9
-90.8,34.4
-90.5,35.1
-91,35.4
-90.4,35
-90.1,35.5
-90.094,35.672
-90.9,34.3
-90.3,35.6
-90.7,34.6
-89.92,35.78
-90.72,35.01
-90.8,34.8
-90.2,35.2
-90.5,35.6
-90.9,34.5
-91,34.2
-91,34.8
-90.1,35.7
-90.9,35
-90.6,35.3
-90.8,34.6
-90.3,35.1
-90.35,35.67
-91,34
-91,34.5
-90.2,35.4
-90.4,35.5
-90.826,34.389
-90.69,34.56
-91.1,35
-90.6,35
-90,35.6
-90.8,35.2
-90.6,35.9
-90.8,35.8
-91.1,36
-90.58,35.74
-90.7,36.1
-90.8,36.3
-90.36,35.82
-91.2,36.1
-90.8,36
-90.55,35.91
-90.4,35.8
-91,35.8
-90.5,36.4
-90.74,36.38
-90.7,36.2
-90.042,35.856
-91,35.8
-90.21,35.74
-90.9,35.5
-90.17,36.34
-91.2,35.6
-90.7,35.6
-91.03,36.02
-91.2,36.2
-90.5,36.3
-90.5,36.2
-90.4,35.8
-90.2,35.9
-91.24,36
-90.391,36.26
-90.2,35.8
-90.4,36.2
-90.9,36.4
-91.0277,35.9744
-90.3,35.9
-90.813,36.169
-90.5,36.1
-90.7,36.3
-90.2,36.4
-91.1,36.3
-90.33,36.45
-91.05,36.08
-91.17,36.05
-91.3,36.3
-91.1,36.3
-90.3,36.2
-90.8,36.3
-90.14,36.454
-91.3,36.1
-90.67,35.84
-91.3,36
-90.7,36.4
-91.13,35.82
-90.5,35.6
-91.2,35.8
-90.9,36
-91.1,36.4
-90.9,35.6
-91.4,36.3
-91.7,35.8
-91.75,36.22
-91.6,36.2
-92.03,36.29
-91.97,36.13
-92.2,36.2
-91.72,36.39
-91.6,36
-91.46,35.81
-91.86,35.64
-91.3,35.8
-91.766,35.879
-91.7,35.73
-92.13,36.22
-91.57,36.3
-92,35.6
-92.15,36.32
-91.6,36.1
-92.2,36
-91.7,35.6
-91.76,36.15
-92.24,36.44
-92.1,36.43
-91.71,36.33
-91.91,35.93
-91.5,36.3
-92,35.4
-92.2,36.42
-91.95,35.58
-91.77,35.71
-91.494,35.726
-91.5,36.4
-91.88,35.77
-92,36
-92.1,35.9
-91.8,35.9
-91.4,35.7
-91.46,35.6
-91.9,36.21
-92.1,36.19
-91.89,35.83
-91.6,35.6
-91.4,36.1
-91.54,35.64
-91.3,35.92
-91.78,36.07
-91.9,36.4
-91.7,36
-91.88,36.44
-91.4,35.8
-91.97,35.55
-92,36.4
-91.85,36.14
-92.02,36.2
-91.85,36.23
-93.1,36.2
-93.3,36.2
-93.6,36.3
-92.3,36.1
-92.59,36.37
-92.33,36.45
-93.3,36.08
-92.54,36.31
-93.3,35.9
-92.56,35.72
-93,36.4
-93.8,36.4
-93.8,36.4
-92.9,36.1
-92.5,36.2
-92.48,36.31
-92.8,36
-93.4,36.3
-92.5,36.01
-93.07,36.04
-93.2,36
-92.55,36.37
-93,36.4
-92.6,35.8
-93.2,36.1
-92.7,35.9
-92.48,36.38
-92.4,36.3
-93.1,35.9
-92.3,36.2
-93.37,36.48
-92.59,36.45
-93.2,36.4
-92.34,35.95
-93.235,35.918
-92.7,36.4
-92.9,36.06
-93.4,36.05
-92.847,36.254
-92.8,36
-92.7,36.3
-92.82,35.7
-92.3,35.9
-92.74,36.14
-93.12,35.93
-93,36.05
-92.9,35.7
-92.7,36.3
-94.1,36
-94.1,36.1
-94.3,36.1
-94.3,36.3
-94.22,36.46
-94.3,36.46
-94.4,35.8
-94.22,36.27
-94.29,36.37
-93.77,35.84
-94.5,36.3
-93.9,35.9
-94.47,35.8
-94.27,36.03
-94,36.4
-94.4,36.3
-94.5,36.4
-93.9,36.1
-94.33,36.43
-93.7,36.1
-93.5,36
-94.4,36
-94.1,36.2
-94.58,36.38
-94.44,35.87
-94.12,36.46
-93.6,35.8
-94.3,35.9
-94,36.3
-94.1,36.3
-93.72,35.82
-94.5,36.2
-94.24,36.19
-94,36.2
-94.5,36.5
-94.49,36.02
-93.85,36.01
-94.2,35.9
-93.7,35.9
-93.14,35.28
-93.1,35.3
-93.74,35.44
-92.9,35.3
-93.4,35.1
-93.68,35.14
-93.6,34.8
-93.52,34.92
-93.5,35.5
-93.64,35.43
-93.4,35.1
-93.2,35.2
-93.35,35.27
-93.1,35.5
-93.64,34.9
-93.3,35.6
-93.63,35.45
-93.77,34.86
-93.6,35.1
-92.9,35.6
-93.37,35.38
-93.3,35.5
-93.27,35.37
-93.45,35.27
