"test","sa3","sa4","sa5"
0.406666666666667,0.287158618589389,0.307552178093564,0.326004997206048
0.41,0.27771677188726,0.29407444831745,0.307340929147065
0.413333333333333,0.265341623826109,0.277730631153129,0.285971160317871
0.416666666666667,0.250163889082278,0.25868002406069,0.262083822523249
0.42,0.232343887229686,0.237108310117333,0.235889218959727
0.423333333333333,0.212069851441478,0.21322575120925,0.207617977910838
0.426666666666667,0.189555944084097,0.187265144257718,0.177519032218004
0.43,0.165040002237313,0.15947956393737,0.14585745027502
0.433333333333333,0.13878104253252,0.130139924343525,0.112912165152044
0.436666666666667,0.111056569185417,0.0995324207758189,0.0789737462953005
0.44,0.0821597824449925,0.0679560562725767,0.0443431427093525
0.443333333333333,0.0523971040267244,0.0357217647515217,0.00935959559577017
0.446666666666667,0.0220907026687727,0.00327522697320437,0.0258211201324989
0.45,0.00854329839655348,0.0295174181482184,0.060690592918685
0.453333333333333,0.0389604548306926,0.0618403167743117,0.0950339648099059
0.456666666666667,0.0690065738285934,0.0935666624328206,0.128542302128743
0.46,0.0983273678152096,0.124382511380845,0.160919570570061
0.463333333333333,0.126610716138565,0.15398663994951,0.191880411153168
0.466666666666667,0.153557288891307,0.182090227838397,0.221152123436856
0.47,0.178882251394862,0.208419245149878,0.248476947137335
0.473333333333333,0.202318015665076,0.232717019556369,0.273614293665807
0.476666666666667,0.223616995611507,0.254746703847969,0.296342849274234
0.48,0.242554196782992,0.274293570693909,0.316462516335749
0.483333333333333,0.258929582164198,0.291167099138967,0.333796170935254
0.486666666666667,0.272570179956707,0.305202828197228,0.348191219578213
0.49,0.283331907912351,0.316263957851607,0.359520940640589
0.493333333333333,0.291101093691284,0.324242681177194,0.36768559848619
0.496666666666667,0.295795674637546,0.329061234303306,0.372613320350046
0.5,0.29736606404441,0.330672653841909,0.374260728247248
0.503333333333333,0.295795674637549,0.32906123433609,0.372613320350045
0.506666666666667,0.291101093691291,0.324242681242449,0.367685598486188
0.51,0.28333190791236,0.316263957948711,0.359520940640586
0.513333333333333,0.27257017995672,0.305202828325255,0.348191219578209
0.516666666666667,0.258929582164213,0.291167099296697,0.333796170935249
0.52,0.242554196783009,0.274293570879841,0.316462516335744
0.523333333333333,0.223616995611527,0.254746704060334,0.296342849274229
0.526666666666667,0.202318015665098,0.232717019793147,0.2736142936658
0.53,0.178882251394885,0.208419245408821,0.248476947137328
0.533333333333333,0.153557288891334,0.182090228117048,0.221152123436848
0.536666666666667,0.126610716138594,0.15398664024523,0.19188041115316
0.54,0.0983273678152373,0.124382511690838,0.160919570570053
0.543333333333333,0.0690065738286224,0.0935666627541543,0.128542302128734
0.546666666666667,0.0389604548307225,0.0618403171039434,0.0950339648098965
0.55,0.00854329839657947,0.0295174184829262,0.0606905929186767
0.553333333333333,0.0220907026687375,0.00327522665234672,0.0258211201324903
0.556666666666667,0.0523971040266979,0.0357217644157222,0.0093595955957939
0.56,0.0821597824449655,0.0679560559408726,0.0443431427093675
0.563333333333333,0.111056569185392,0.099532420451359,0.0789737462953117
0.566666666666667,0.138781042532497,0.130139924029316,0.112912165152053
0.57,0.165040002237291,0.159479563636309,0.14585745027503
0.573333333333333,0.189555944084076,0.187265143972552,0.177519032218013
0.576666666666667,0.212069851441461,0.213225750942565,0.207617977910846
0.58,0.232343887229672,0.237108309871534,0.235889218959736
0.583333333333333,0.250163889082268,0.258680023837961,0.262083822523258
0.586666666666667,0.265341623826102,0.277730630955431,0.285971160317879
0.59,0.277716771887257,0.294074448146496,0.307340929147072
0.593333333333333,0.287158618589389,0.3075521779508,0.326004997206055
0.596666666666667,0.293567433618421,0.318032459390983,0.341799057176375
0.6,0.296875523694558,0.325413147202553,0.354584070517384
0.603333333333333,0.297047947148548,0.329622306700038,0.364247489827839
0.606666666666667,0.294082882766687,0.330618914462808,0.370704248360711
0.61,0.288011648972368,0.328393257955923,0.373897507932959
0.613333333333333,0.278898373139571,0.322967030167555,0.373799158643173
0.616666666666667,0.266839314562829,0.314393118335187,0.370410066007935
0.62,0.251961848315042,0.302755088829579,0.363760063349352
0.623333333333333,0.234423120896037,0.288166373248686,0.353907689500467
0.626666666666667,0.214408392228926,0.270769163727219,0.34093967412919
0.63,0.192129082304182,0.250733028387842,0.324970175201733
0.633333333333333,0.167820544978356,0.228253260777305,0.306139775302997
