"m.ei","ei","ei"
2.28433833503649e-35,0.0138320660272787,0.00198975164128824
2.84123449738145e-35,0.0136555578137473,0.00196698611466113
1.33492251176688e-35,0.0130342694359492,0.00184063980151483
2.271103048664e-36,0.0120110806549511,0.00162655446368288
1.2651544875665e-37,0.0106537459790924,0.00135043255131247
1.94430464088564e-39,0.00905234892137658,0.00104450343092355
6.32676400963856e-42,0.00731543534989815,0.000743049927837965
2.93364847599785e-45,0.00556404388648665,0.000477089887234794
1.07315105695964e-49,0.00392264607717545,0.000268896235021124
1.26503683631628e-55,0.00250602308126113,0.000127622041418245
1.19533759573714e-63,0.00140177058508345,4.78542758871076e-05
9.61996909009737e-75,0.000650275150032701,1.28068180148762e-05
1.49420993196316e-90,0.000228686710452882,2.06409079819797e-06
5.00529526752123e-114,5.20477598670867e-05,1.48139978697654e-07
6.73524870512355e-151,5.66826021002734e-06,2.64786129397e-09
1.62551882667626e-213,1.55565018768123e-07,3.39857478217103e-12
0,2.21536237021741e-10,1.43148281807706e-17
0,1.2515833700147e-16,1.38368917858984e-29
0,7.01770427491727e-36,3.61084495524353e-67
0,1.15202662076907e-176,0
0,0,0
0,6.38762944335418e-67,5.33345342875371e-128
0,2.05465333122753e-23,1.19648956019128e-42
0,5.26341861673285e-13,1.67570364117459e-22
1.83047969729478e-262,7.05114234536543e-09,1.19697622801552e-14
1.41075745350114e-177,8.64738622796019e-07,9.52191711931386e-11
4.37534657616758e-130,1.43937380532039e-05,1.6433972760507e-08
6.6333546194683e-101,8.76673158071885e-05,4.22643963732902e-07
9.44713485396519e-82,0.000302400842105314,3.76102858547813e-06
1.47143347034771e-68,0.000734627168274465,1.7572302260926e-05
3.83118713318837e-59,0.00141593493148845,5.40384860906072e-05
3.01339680003124e-52,0.0023218587066156,0.000124722449635563
4.1501843568376e-47,0.00338202747712813,0.000234138994451179
3.04415672006609e-43,0.00449889565533169,0.000376317728562693
2.45954208466384e-40,0.00556633298039225,0.000535530997506139
3.55458035435361e-38,0.00648452374197415,0.000690034431388232
1.27319865709615e-36,0.00717055590987104,0.000817024599792394
1.40389964211854e-35,0.00756523032575684,0.000897347740734146
5.46598832487446e-35,0.00763685533013123,0.000919060368645941
8.09755421620182e-35,0.00738266153942729,0.000879410137423396
4.6619996712455e-35,0.00682823435539342,0.000785110094492118
1.01198376939286e-35,0.00602512024543902,0.00065096905213847
7.60190181951953e-37,0.00504655398082391,0.000497088225650866
1.69680217889404e-38,0.00398110302601506,0.000345005013707034
8.85205715244265e-41,0.00292398037289965,0.000213400194688883
7.50194716008092e-44,0.00196594181361697,0.00011427570837198
5.96636587768928e-48,0.00118024608006819,5.0746715186257e-05
1.92301519759486e-53,0.000609377604140301,1.75067521319901e-05
6.7029149044654e-61,0.000255260712993747,4.23613817003323e-06
2.90706256889851e-71,7.89208120688099e-05,6.08488642901334e-07
3.76606647375591e-86,1.53171917808811e-05,3.89218836128466e-08
1.49099652812008e-108,1.38611627631767e-06,6.51811527518085e-10
