"m.mean","",""
0.643302469038862,0.580475425148573,0.57736431634464
0.645680235393775,0.591033103226808,0.588221518734878
0.648030541181047,0.601687078302899,0.599197090091355
0.650381385679774,0.612261746423104,0.610106443402165
0.652759697710577,0.622577392697682,0.620760505814361
0.655191132822246,0.632455119764908,0.63097090844772
0.657699883106369,0.641721954983109,0.640555359423454
0.66030850075661,0.650215987648627,0.649343043944955
0.663037736376791,0.657791379380164,0.657179887054181
0.665906392924664,0.664323087974805,0.663933512023597
0.668931196056838,0.66971114792515,0.669497730635346
0.672126681515835,0.67388435952046,0.673796410975207
0.67550510007335,0.676803252881426,0.676786583660243
0.679076340415511,0.678462212956142,0.678460668160117
0.682847870227007,0.678890675728037,0.678847726322186
0.686824695602294,0.678153333725177,0.678013679396099
0.691009338784507,0.676349319277235,0.676060456626932
0.695401834107025,0.673610365644885,0.673124076595121
0.699999741889666,0.670097977922354,0.669371695647291
0.704798179921953,0.665999676307971,0.66499768975164
0.709789872050633,0.661524402878916,0.660218865806438
0.714965213278191,0.656897208483929,0.655268924879894
0.720312350674387,0.652353358065207,0.650392322318193
0.725817279304206,0.648132010131873,0.64583768760145
0.731463952283943,0.644469638933175,0.641850979948409
0.737234403992667,0.641593376007432,0.638668563860823
0.743108885389851,0.639714451252982,0.636510392110584
0.749066010321605,0.639021912631294,0.63557348227798
0.755082911638417,0.63967679828812,0.636025867090595
0.761135405896649,0.641806925510591,0.638001188761435
0.767198165374684,0.645502447766865,0.641594093549584
0.773244896102694,0.650812314318677,0.646856565111981
0.779248520582662,0.657741746751143,0.65379531409978
0.785181363862548,0.666250823415309,0.662370317084904
0.79101534162548,0.676254236434733,0.672494570507495
0.796722148961311,0.687622256855674,0.684035095196545
0.802273448503845,0.700182912093332,0.696815194521356
0.807641056642204,0.713725346562807,0.710617934914369
0.812797126548913,0.728004301981244,0.725190782081864
0.817714326810058,0.742745619182939,0.740251290603486
0.822366014493787,0.757652629492273,0.755493709928046
0.826726401552171,0.772413272008824,0.770596337286554
0.83077071351739,0.786707744950671,0.785229419168852
0.834475339525803,0.800216475895708,0.799063379197666
0.83781797278214,0.812628178730025,0.81177713288635
0.840777740660058,0.823647755582499,0.823066240135439
0.843335323724021,0.833003800969269,0.832650645402656
0.845473063050047,0.840455473417439,0.840281763909683
0.847175055318657,0.845798517184058,0.845748690228258
0.848427235251496,0.84887024305453,0.848883332827566
0.849217445062775,0.849553311812917,0.849564313859491
0.849535490697135,0.847778205556895,0.847719516303499
0.84937318472593,0.843524318878017,0.84332720883642
0.848724375873408,0.836819651988607,0.836415730322021
0.847584965242157,0.827739138858751,0.827061768276263
0.845952909402595,0.816401692938005,0.815387316597853
0.843828210603564,0.802966098728433,0.801555444847111
0.84121289444947,0.787625917190088,0.785765052191569
0.838110975473312,0.770603604862012,0.768244811928625
0.834528411113639,0.75214406927154,0.749246535806289
0.830473044676521,0.732507895799679,0.72903820028642
0.825954537930436,0.711964483350884,0.70789687910371
0.820984294042161,0.690785318192411,0.686101818226914
0.81557537161492,0.669237597971045,0.66392787143984
0.809742390635892,0.647578392445853,0.641639488527628
0.803501431178516,0.626049495534869,0.619485415166921
0.796869925735605,0.604873086763738,0.597694226033948
0.789866546082136,0.584248281162333,0.576470772458293
0.782511085581613,0.564348607124369,0.555993585264021
0.774824337857176,0.545320413652586,0.536413234236983
