"m.up","up","up"
0.956737992039537,1.46115364305698,1.43109320334425
0.948804964242819,1.40603383661567,1.37921241029511
0.939417805869779,1.34500628740954,1.32160280020138
0.928594179489714,1.27827050418086,1.25843354843342
0.91635747490251,1.20611447576862,1.18996038765698
0.902736678300936,1.12891579938313,1.11652719056285
0.887766420526193,1.04713941086396,1.03856422873205
0.871488365673844,0.961332520902688,0.956583673345514
0.85399175852682,0.872134307412907,0.871189134865813
0.863944633329995,0.915423122097082,0.912499798867483
0.883546863934746,1.00087765718643,0.994015962754281
0.903297956174231,1.0826888387158,1.07186921448543
0.923122819914442,1.16023344507091,1.14546705135502
0.942954030071679,1.23298285543371,1.21431079359427
0.962726494950824,1.30050931380389,1.27800130920393
0.982377158191874,1.36249158880656,1.33624408659543
1.00184516914233,1.41871776830065,1.38885150364138
1.02107212819917,1.46908495125102,1.43574208122821
1.04000233539198,1.51359587561654,1.47693677499396
1.05858302306398,1.55235266952908,1.51255250142792
1.07676456598895,1.5855480318397,1.54279320781774
1.09450066609288,1.61345424644326,1.56793888857304
